WS2 Flake
VASEmethod[EllipsometerType=4, Isotropic, FixedPol=45.00, ZoneAve=1, Revs=400, OffsetMode=2, Offset1=0.11742, Offset2=0.23822, Offset3=-0.019523, WVASE=3.802, HardVer=17.034, Wed Sep 18 17:07:16 2019]
Original[s1_bulk_ws2_2d_semic_45deg_01.dat]
nm
627.5	52	22.17935	205.59452	0.00574	0.01125
630	52	22.1717	205.74024	0.00535	0.01173
632.5	52	22.08517	205.62278	0.00514	0.01366
635	52	22.08917	205.82597	0.00559	0.01196
637.5	52	22.04073	205.95101	0.00531	0.01293
640	52	21.99871	205.93121	0.00503	0.01326
642.5	52	21.99603	206.08654	0.00521	0.0133
645	52	21.97836	206.03316	0.00535	0.01454
647.5	52	21.92606	206.0849	0.00613	0.01487
650	52	21.90402	206.1919	0.00583	0.01483
652.5	52	21.89409	206.27837	0.00568	0.01591
655	52	21.81338	206.40911	0.00512	0.01401
657.5	52	21.72276	206.40101	0.0072	0.01249
660	52	21.70516	206.4124	0.00581	0.01405
662.5	52	21.73474	206.51496	0.00539	0.01378
665	52	21.69637	206.55024	0.0063	0.01385
667.5	52	21.62753	206.67867	0.00541	0.01345
670	52	21.62764	206.67043	0.00579	0.01526
672.5	52	21.56854	206.65225	0.0056	0.01389
675	52	21.5329	206.70915	0.00595	0.01825
677.5	52	21.53485	206.75102	0.007	0.0212
680	52	21.4817	206.80192	0.00621	0.01289
682.5	52	21.45367	206.78706	0.00633	0.01522
685	52	21.40622	206.8955	0.00603	0.01545
687.5	52	21.31562	206.78127	0.00632	0.01604
690	52	21.29285	206.94572	0.00572	0.0135
692.5	52	21.24709	206.72595	0.00648	0.01961
695	52	21.2443	206.85557	0.00628	0.01556
697.5	52	21.2201	206.76175	0.00663	0.01977
700	52	21.16759	206.87889	0.0064	0.01898
702.5	52	21.13867	206.97958	0.00718	0.02009
705	52	21.18284	207.01418	0.00762	0.01873
707.5	52	21.09232	207.06226	0.0076	0.01943
710	52	21.07509	207.07683	0.00809	0.02019
712.5	52	20.9902	207.13239	0.0075	0.02131
715	52	20.93287	207.117	0.00772	0.0207
717.5	52	20.93625	207.13228	0.00791	0.02153
720	52	20.91565	207.17316	0.00756	0.0229
722.5	52	20.86945	207.09182	0.00843	0.02277
725	52	20.84621	207.04122	0.00863	0.02323
727.5	52	20.75104	207.19302	0.00858	0.02355
730	52	20.74143	207.26824	0.00866	0.02345
732.5	52	20.71002	207.3057	0.00885	0.02478
735	52	20.65517	207.23771	0.00911	0.02455
737.5	52	20.70413	207.3898	0.00887	0.02473
740	52	20.64905	207.39342	0.00929	0.02364
742.5	52	20.60924	207.46148	0.0091	0.02506
745	52	20.53257	207.421	0.0094	0.02539
747.5	52	20.53895	207.41146	0.00928	0.0263
750	52	20.48591	207.58543	0.00975	0.02642
752.5	52	20.43059	207.51096	0.01	0.02731
755	52	20.40675	207.64139	0.01009	0.02662
757.5	52	20.40259	207.62791	0.00987	0.02747
760	52	20.4027	207.7134	0.00961	0.02803
762.5	52	20.31776	207.55073	0.00998	0.0294
765	52	20.27028	207.75806	0.01003	0.02935
767.5	52	20.20179	207.79966	0.01033	0.02906
770	52	20.13682	207.63147	0.01044	0.02996
772.5	52	20.09499	207.96844	0.01115	0.03166
775	52	20.12521	207.85316	0.01159	0.03287
777.5	52	20.14407	208.1027	0.01157	0.0337
780	52	20.02509	208.18961	0.01195	0.03309
782.5	52	19.97028	208.26735	0.01272	0.03422
785	52	19.97969	208.40262	0.01275	0.03575
787.5	52	19.90935	208.57195	0.01322	0.03644
790	52	19.94083	208.58054	0.0136	0.03717
792.5	52	19.93723	208.46693	0.01365	0.03844
795	52	19.88133	208.58729	0.01378	0.0394
797.5	52	19.78938	208.57037	0.01409	0.03999
800	52	19.79793	208.80064	0.0137	0.03983
802.5	52	19.80069	208.92574	0.01438	0.04124
805	52	19.88378	208.90048	0.01433	0.04151
807.5	52	19.75794	208.73785	0.01451	0.0412
810	52	19.67921	208.51263	0.01387	0.04177
812.5	52	19.74457	208.82983	0.01388	0.04069
815	52	19.66879	208.78763	0.01382	0.04042
817.5	52	19.61957	208.65356	0.01362	0.04009
820	52	19.53968	208.53748	0.0124	0.03809
822.5	52	19.49563	208.2506	0.01073	0.03072
825	52	19.55436	208.18302	0.0087	0.02717
827.5	52	19.46813	208.0328	0.00907	0.02776
